2026-09-04 02:38:41,5,real_esp32
2026-09-04 02:38:44,5,real_esp32
2026-09-04 02:38:47,5,real_esp32
2026-09-04 02:38:50,5,real_esp32
2026-09-04 02:38:53,3,real_esp32
2026-09-04 02:38:56,3,real_esp32
2026-09-04 02:38:59,3,real_esp32
2026-09-04 02:39:02,3,real_esp32
2026-09-04 02:39:05,3,real_esp32
2026-09-04 02:39:08,1,real_esp32
2026-09-04 02:39:11,1,real_esp32
2026-09-04 02:39:14,2,real_esp32
2026-09-04 02:39:17,1,real_esp32
2026-09-04 02:39:20,2,real_esp32
2026-09-04 02:39:23,2,real_esp32
2026-09-04 02:39:26,2,real_esp32
2026-09-04 02:39:29,2,real_esp32
2026-09-04 02:39:32,2,real_esp32
2026-09-04 02:39:35,2,real_esp32
2026-09-04 02:39:38,2,real_esp32
2026-09-04 02:39:41,2,real_esp32
2026-09-04 02:39:44,2,real_esp32
2026-09-04 02:39:47,2,real_esp32
2026-09-04 02:39:50,2,real_esp32
2026-09-04 02:39:53,2,real_esp32
2026-09-04 02:39:56,2,real_esp32
2026-09-04 02:39:59,2,real_esp32
2026-09-04 02:40:02,2,real_esp32
2026-09-04 02:40:05,2,real_esp32
2026-09-04 02:40:08,2,real_esp32
2026-09-04 02:40:11,2,real_esp32
2026-09-04 02:40:14,1,real_esp32
2026-09-04 02:40:17,2,real_esp32
2026-09-04 02:40:20,1,real_esp32
2026-09-04 02:40:23,1,real_esp32
2026-09-04 02:40:26,1,real_esp32
2026-09-04 02:40:29,1,real_esp32
2026-09-04 02:40:32,1,real_esp32
2026-09-04 02:40:35,1,real_esp32
2026-09-04 02:40:38,1,real_esp32
2026-09-04 02:40:41,1,real_esp32
2026-09-04 02:40:44,1,real_esp32
2026-09-04 02:40:47,1,real_esp32
2026-09-04 02:40:50,1,real_esp32
2026-09-04 02:40:53,1,real_esp32
2026-09-04 02:40:56,2,real_esp32
2026-09-04 02:40:59,2,real_esp32
2026-09-04 02:41:02,2,real_esp32
2026-09-04 02:41:05,2,real_esp32
2026-09-04 02:41:08,2,real_esp32
2026-09-04 02:41:11,2,real_esp32
2026-09-04 02:41:14,2,real_esp32
2026-09-04 02:41:17,2,real_esp32
2026-09-04 02:41:20,2,real_esp32
2026-09-04 02:41:23,3,real_esp32
2026-09-04 02:41:26,3,real_esp32
2026-09-04 02:41:29,3,real_esp32
2026-09-04 02:41:32,3,real_esp32
2026-09-04 02:41:35,3,real_esp32
2026-09-04 02:41:38,3,real_esp32
2026-09-04 02:41:41,3,real_esp32
2026-09-04 02:41:44,3,real_esp32
2026-09-04 02:41:47,3,real_esp32
2026-09-04 02:41:50,3,real_esp32
2026-09-04 02:41:53,4,real_esp32
2026-09-04 02:41:56,4,real_esp32
2026-09-04 02:41:59,4,real_esp32
2026-09-04 02:42:02,4,real_esp32
2026-09-04 02:42:05,4,real_esp32
2026-09-04 02:42:08,4,real_esp32
2026-09-04 02:42:11,4,real_esp32
2026-09-04 02:42:14,4,real_esp32
2026-09-04 02:42:17,4,real_esp32
2026-09-04 02:42:20,4,real_esp32
2026-09-04 02:42:23,3,real_esp32
2026-09-04 02:42:26,4,real_esp32
2026-09-04 02:42:29,4,real_esp32
2026-09-04 02:42:32,4,real_esp32
2026-09-04 02:42:35,4,real_esp32
2026-09-04 02:42:38,4,real_esp32
2026-09-04 02:42:41,4,real_esp32
2026-09-04 02:42:44,4,real_esp32
2026-09-04 02:42:47,4,real_esp32
2026-09-04 02:42:50,4,real_esp32
2026-09-04 02:42:52,3,real_esp32
2026-09-04 02:42:56,3,real_esp32
2026-09-04 02:42:58,3,real_esp32
2026-09-04 02:43:02,3,real_esp32
2026-09-04 02:43:05,3,real_esp32
2026-09-04 02:43:08,3,real_esp32
2026-09-04 02:43:11,3,real_esp32
2026-09-04 02:43:14,3,real_esp32
2026-09-04 02:43:17,3,real_esp32
2026-09-04 02:43:20,3,real_esp32
2026-09-04 02:43:23,3,real_esp32
2026-09-04 02:43:26,3,real_esp32
2026-09-04 02:43:29,2,real_esp32
2026-09-04 02:43:31,2,real_esp32
2026-09-04 02:43:35,3,real_esp32
2026-09-04 02:43:38,3,real_esp32
2026-09-04 02:43:41,3,real_esp32
2026-09-04 02:43:44,4,real_esp32
2026-09-04 02:43:47,4,real_esp32
2026-09-04 02:43:50,4,real_esp32
2026-09-04 02:43:53,4,real_esp32
2026-09-04 02:43:56,4,real_esp32
2026-09-04 02:43:59,4,real_esp32
2026-09-04 02:48:00,4,real_esp32
2026-09-04 02:48:03,4,real_esp32
2026-09-04 02:48:06,4,real_esp32
2026-09-04 02:48:09,4,real_esp32
2026-09-04 02:48:12,4,real_esp32
2026-09-04 02:54:56,3,real_esp32
2026-09-04 02:54:59,3,real_esp32
2026-09-04 02:55:02,3,real_esp32
2026-09-04 02:55:05,2,real_esp32
